architecture,model_path,model_parameters,image_height,image_width,image_size_label,learning_rate,dropout_rate,dense_units,batch_size,epochs_trained,training_time_seconds,train_mae_norm,val_mae_norm,test_mae_norm,train_loss_norm,val_loss_norm,test_loss_norm,val_mse_original,val_mae_original,val_rmse_original,test_mse_original,test_mae_original,test_rmse_original
medium,outputs/models/medium_96x96_dense64_drop0_2_bs64_lr0_001.keras,102465,96,96,96x96,0.001,0.2,64,64,24,172.59916281700134,0.258792519569397,0.247516930103302,0.25461480021476746,0.09821955859661102,0.09054570645093918,0.09437498450279236,7202.1806640625,69.8076400756836,84.86566245580423,7506.7685546875,71.80945587158203,86.64160983434864
small,outputs/models/small_96x96_dense64_drop0_2_bs64_lr0_001.keras,7457,96,96,96x96,0.001,0.2,64,64,22,162.84962844848633,0.2667122185230255,0.24880677461624146,0.25233277678489685,0.14715813100337982,0.12858283519744873,0.13382799923419952,10227.728515625,70.17141723632812,101.13223282230547,10644.939453125,71.16587829589844,103.17431585973807
large,outputs/models/large_160x160_dense128_drop0_2_bs64_lr0_0001.keras,617121,160,160,160x160,0.0001,0.2,128,64,11,301.19502687454224,0.27731430530548096,0.24907436966896057,0.25690704584121704,0.17964445054531097,0.15148162841796875,0.16159214079380035,12049.140625,70.24687957763672,109.76857758484438,12853.353515625,72.4559555053711,113.37263124592725
medium,outputs/models/medium_64x64_dense64_drop0_2_bs64_lr0_001.keras,102465,64,64,64x64,0.001,0.2,64,64,10,49.40889859199524,0.2765279710292816,0.2514684796333313,0.25852170586586,0.17115692794322968,0.14665751159191132,0.15384632349014282,11665.421875,70.922119140625,108.0065825540277,12237.2333984375,72.91136169433594,110.6220294445799
medium,outputs/models/medium_160x160_dense128_drop0_2_bs64_lr0_001.keras,110785,160,160,160x160,0.001,0.2,128,64,31,458.5327205657959,0.2722474932670593,0.25211283564567566,0.2577804923057556,0.12797482311725616,0.11235442757606506,0.11867759376764297,8936.888671875,71.10383605957031,94.53511872248852,9439.8466796875,72.70230102539062,97.15887339655345
small,outputs/models/small_224x224_dense128_drop0_2_bs64_lr0_0001.keras,9633,224,224,224x224,0.0001,0.2,128,64,30,451.18829250335693,0.27067479491233826,0.2531304359436035,0.2567547857761383,0.12870019674301147,0.1140231192111969,0.11883644014596939,9069.6201171875,71.39082336425781,95.23455316841414,9452.4794921875,72.41301727294922,97.22386277137676
small,outputs/models/small_128x128_dense128_drop0_3_bs64_lr0_0001.keras,9633,128,128,128x128,0.0001,0.3,128,64,20,118.01374554634094,0.26685085892677307,0.2540969252586365,0.25739943981170654,0.13141606748104095,0.12120191007852554,0.12418556213378906,9640.6357421875,71.66339874267578,98.18673913613539,9877.96484375,72.5948257446289,99.3879512000826
medium,outputs/models/medium_96x96_dense128_drop0_2_bs64_lr0_001.keras,110785,96,96,96x96,0.001,0.2,128,64,21,133.91433596611023,0.2702213525772095,0.25573229789733887,0.2632189393043518,0.11353558301925659,0.10078646242618561,0.10659891366958618,8016.7509765625,72.1246337890625,89.53631093898441,8479.083984375,74.23609924316406,92.08194168443126
large,outputs/models/large_224x224_dense128_drop0_3_bs64_lr0_001.keras,617121,224,224,224x224,0.001,0.3,128,64,13,650.9356245994568,0.28033238649368286,0.2576279044151306,0.2636495530605316,0.20534589886665344,0.1769431084394455,0.18710295855998993,14074.3955078125,72.65925598144531,118.63555751886742,14882.5322265625,74.3575439453125,121.99398438678237
small,outputs/models/small_64x64_dense64_drop0_2_bs64_lr0_001.keras,7457,64,64,64x64,0.001,0.2,64,64,11,72.43014597892761,0.2912379503250122,0.264724463224411,0.26993390917778015,0.22517627477645874,0.19115543365478516,0.19966945052146912,15204.8701171875,74.66072082519531,123.30802941085183,15882.0947265625,76.12992858886719,126.02418310214314
small,outputs/models/small_96x96_dense128_drop0_2_bs64_lr0_001.keras,9633,96,96,96x96,0.001,0.2,128,64,21,81.93815088272095,0.2871703803539276,0.27268412709236145,0.2782320976257324,0.1381329745054245,0.12273517996072769,0.12774568796157837,9762.59375,76.90559387207031,98.80583864327048,10161.140625,78.47029876708984,100.80248322834116
medium,outputs/models/medium_160x160_dense64_drop0_3_bs64_lr0_0001.keras,102465,160,160,160x160,0.0001,0.3,64,64,30,438.71037220954895,0.2979775071144104,0.27701932191848755,0.2821918725967407,0.16738399863243103,0.1447688639163971,0.15127187967300415,11515.197265625,78.12825775146484,107.30888716981926,12032.4599609375,79.58706665039062,109.69257021757444
small,outputs/models/small_160x160_dense64_drop0_3_bs64_lr0_0001.keras,7457,160,160,160x160,0.0001,0.3,64,64,14,115.88587379455566,0.29455438256263733,0.28151601552963257,0.2825881242752075,0.16039370000362396,0.14637206494808197,0.15042120218276978,11642.7177734375,79.396484375,107.90142618815332,11964.791015625,79.6988296508789,109.38368715500954
medium,outputs/models/medium_96x96_dense128_drop0_3_bs64_lr0_001.keras,110785,96,96,96x96,0.001,0.3,128,64,10,66.23613405227661,0.29445523023605347,0.2822106182575226,0.2830059826374054,0.1386469602584839,0.12903551757335663,0.1283591240644455,10263.734375,79.59236907958984,101.31009019342545,10209.935546875,79.81668853759766,101.0442256978349
small,outputs/models/small_160x160_dense128_drop0_3_bs64_lr0_001.keras,9633,160,160,160x160,0.001,0.3,128,64,12,103.83891725540161,0.31680941581726074,0.28599709272384644,0.2892119884490967,0.285550057888031,0.24051491916179657,0.24984027445316315,19131.01953125,80.6602783203125,138.31492880831772,19872.775390625,81.56698608398438,140.97083170154386
small,outputs/models/small_160x160_dense128_drop0_3_bs64_lr0_0001.keras,9633,160,160,160x160,0.0001,0.3,128,64,20,164.65303230285645,0.30666184425354004,0.28923454880714417,0.29372671246528625,0.1726495623588562,0.15331998467445374,0.1594402939081192,12195.369140625,81.57333374023438,110.43264526680957,12682.19140625,82.84027099609375,112.61523611949673
large,outputs/models/large_128x128_dense128_drop0_2_bs64_lr0_001.keras,617121,128,128,128x128,0.001,0.2,128,64,13,245.2682228088379,0.3178108334541321,0.29193368554115295,0.29875215888023376,0.2625364661216736,0.22227056324481964,0.23422762751579285,17679.83203125,82.3345947265625,132.96552948508872,18630.919921875,84.25762939453125,136.4951278320036
medium,outputs/models/medium_224x224_dense128_drop0_3_bs64_lr0_001.keras,110785,224,224,224x224,0.001,0.3,128,64,11,293.1261601448059,0.31020957231521606,0.29368752241134644,0.29863375425338745,0.1428312361240387,0.1261170357465744,0.13156159222126007,10031.5908203125,82.82920837402344,100.15782955072709,10464.6640625,84.22423553466797,102.29694063118407
small,outputs/models/small_64x64_dense128_drop0_3_bs64_lr0_0001.keras,9633,64,64,64x64,0.0001,0.3,128,64,21,52.5044801235199,0.30225518345832825,0.2949068248271942,0.2949160635471344,0.14676208794116974,0.13874489068984985,0.1383211463689804,11036.0361328125,83.17310333251953,105.05253986845106,11002.3310546875,83.17572021484375,104.8919970955244
large,outputs/models/large_128x128_dense128_drop0_3_bs64_lr0_001.keras,617121,128,128,128x128,0.001,0.3,128,64,19,366.3938317298889,0.3239824175834656,0.2957754135131836,0.29951751232147217,0.27882906794548035,0.24069182574748993,0.250036358833313,19145.09375,83.41806030273438,138.3657968935965,19888.3828125,84.47345733642578,141.02617775611733
small,outputs/models/small_160x160_dense64_drop0_2_bs64_lr0_001.keras,7457,160,160,160x160,0.001,0.2,64,64,12,165.92729496955872,0.32495367527008057,0.2995317876338959,0.3037068545818329,0.20749862492084503,0.1790430098772049,0.1863234043121338,14241.4296875,84.47747802734375,119.3374613752949,14820.5244140625,85.65498352050781,121.73957620290331
large,outputs/models/large_96x96_dense128_drop0_2_bs64_lr0_0001.keras,617121,96,96,96x96,0.0001,0.2,128,64,50,556.079309463501,0.31950968503952026,0.3012349605560303,0.3042384684085846,0.18470942974090576,0.16355128586292267,0.16896961629390717,13009.18359375,84.95783996582031,114.05780812267962,13440.1728515625,85.80491638183594,115.93175946030708
small,outputs/models/small_128x128_dense64_drop0_3_bs64_lr0_001.keras,7457,128,128,128x128,0.001,0.3,64,64,18,108.6507797241211,0.3289942145347595,0.30296462774276733,0.30575746297836304,0.25197651982307434,0.22030125558376312,0.22791266441345215,17523.19140625,85.44566345214844,132.37519180817077,18128.61328125,86.23333740234375,134.6425388993018
large,outputs/models/large_160x160_dense128_drop0_3_bs64_lr0_0001.keras,617121,160,160,160x160,0.0001,0.3,128,64,32,859.4340310096741,0.333088755607605,0.30860596895217896,0.3140694200992584,0.22420147061347961,0.19561415910720825,0.20443834364414215,15559.5263671875,87.03668975830078,124.73783053744161,16261.4248046875,88.57757568359375,127.52029173699181
small,outputs/models/small_64x64_dense128_drop0_2_bs64_lr0_0001.keras,9633,64,64,64x64,0.0001,0.2,128,64,12,55.83942890167236,0.33049067854881287,0.3086959719657898,0.31404340267181396,0.22328971326351166,0.19189311563968658,0.2023637741804123,15263.544921875,87.06208038330078,123.54571996582885,16096.4052734375,88.57023620605469,126.87160940666553
large,outputs/models/large_160x160_dense64_drop0_2_bs64_lr0_0001.keras,600609,160,160,160x160,0.0001,0.2,64,64,14,381.39362597465515,0.33665725588798523,0.31174492835998535,0.31902647018432617,0.256310373544693,0.22243162989616394,0.233676940202713,17692.642578125,87.9219741821289,133.01369319782455,18587.111328125,89.97560119628906,136.33455661762721
large,outputs/models/large_128x128_dense64_drop0_3_bs64_lr0_001.keras,600609,128,128,128x128,0.001,0.3,64,64,16,301.0399525165558,0.3309250771999359,0.31598973274230957,0.3199193775653839,0.20702773332595825,0.18310508131980896,0.19010615348815918,14564.533203125,89.11914825439453,120.68360784764847,15121.4111328125,90.22743225097656,122.96914707686844
medium,outputs/models/medium_64x64_dense128_drop0_3_bs64_lr0_001.keras,110785,64,64,64x64,0.001,0.3,128,64,33,122.36842465400696,0.33964815735816956,0.31961020827293396,0.3244418799877167,0.21079126000404358,0.1876586526632309,0.19375045597553253,14926.7314453125,90.14024353027344,122.17500335712089,15411.28515625,91.50293731689453,124.14219732327119
small,outputs/models/small_224x224_dense64_drop0_3_bs64_lr0_001.keras,7457,224,224,224x224,0.001,0.3,64,64,11,183.8741316795349,0.3510517477989197,0.3216342628002167,0.32743707299232483,0.3314800262451172,0.28950175642967224,0.29986533522605896,23027.537109375,90.71109008789062,151.74826888427756,23851.87109375,92.34769439697266,154.4405098856838
small,outputs/models/small_64x64_dense64_drop0_3_bs64_lr0_001.keras,7457,64,64,64x64,0.001,0.3,64,64,13,36.58832859992981,0.35473915934562683,0.3230031430721283,0.33034488558769226,0.3135312795639038,0.26891788840293884,0.28008362650871277,21390.248046875,91.09716033935547,146.2540530955467,22278.396484375,93.16777038574219,149.2594937830589
small,outputs/models/small_128x128_dense64_drop0_2_bs64_lr0_001.keras,7457,128,128,128x128,0.001,0.2,64,64,15,157.3082892894745,0.34751400351524353,0.3240712881088257,0.32793113589286804,0.2451176792383194,0.21565598249435425,0.22337625920772552,17153.69140625,91.3984146118164,130.97210163332494,17767.779296875,92.48699188232422,133.29583375662946
medium,outputs/models/medium_224x224_dense128_drop0_2_bs64_lr0_0001.keras,110785,224,224,224x224,0.0001,0.2,128,64,13,347.54640007019043,0.34928470849990845,0.33092057704925537,0.33552858233451843,0.20945104956626892,0.18318325281143188,0.19002467393875122,14570.751953125,93.33013916015625,120.70936978182348,15114.931640625,94.62972259521484,122.94279824627793
large,outputs/models/large_224x224_dense128_drop0_2_bs64_lr0_0001.keras,617121,224,224,224x224,0.0001,0.2,128,64,17,835.7526607513428,0.34644758701324463,0.3309279978275299,0.3349228501319885,0.23573832213878632,0.20795604586601257,0.21708592772483826,16541.224609375,93.33220672607422,128.61269225614944,17267.43359375,94.4588623046875,131.40560716251798
large,outputs/models/large_128x128_dense128_drop0_2_bs64_lr0_0001.keras,617121,128,128,128x128,0.0001,0.2,128,64,13,245.81670117378235,0.36172959208488464,0.3411371111869812,0.34661436080932617,0.24155083298683167,0.21501439809799194,0.22103558480739594,17102.662109375,96.21150970458984,130.77714673969226,17581.59765625,97.75623321533203,132.59561703257768
medium,outputs/models/medium_224x224_dense128_drop0_2_bs64_lr0_001.keras,110785,224,224,224x224,0.001,0.2,128,64,23,608.0463778972626,0.36329060792922974,0.34204936027526855,0.349588006734848,0.2291049212217331,0.20478816330432892,0.21359723806381226,16289.24609375,96.46880340576172,127.62933085208118,16989.9375,98.59493255615234,130.34545446619916
small,outputs/models/small_224x224_dense64_drop0_2_bs64_lr0_0001.keras,7457,224,224,224x224,0.0001,0.2,64,64,11,171.30262565612793,0.3611610531806946,0.34480127692222595,0.3475130498409271,0.19884073734283447,0.18406255543231964,0.18519112467765808,14640.69140625,97.24490356445312,120.99872481249544,14730.4599609375,98.00971221923828,121.36910628713346
medium,outputs/models/medium_128x128_dense128_drop0_3_bs64_lr0_001.keras,110785,128,128,128x128,0.001,0.3,128,64,11,116.05695366859436,0.36798354983329773,0.34612590074539185,0.35390153527259827,0.24612903594970703,0.21747832000255585,0.22644244134426117,17298.6484375,97.61849975585938,131.5243264096038,18011.66796875,99.8115005493164,134.20755555761383
large,outputs/models/large_224x224_dense64_drop0_2_bs64_lr0_0001.keras,600609,224,224,224x224,0.0001,0.2,64,64,13,643.3998231887817,0.3924545347690582,0.3569020926952362,0.36289286613464355,0.3668132424354553,0.31483712792396545,0.32819148898124695,25042.755859375,100.65773010253906,158.24903114829803,26104.978515625,102.34732055664062,161.57035159838267
small,outputs/models/small_128x128_dense128_drop0_2_bs64_lr0_001.keras,9633,128,128,128x128,0.001,0.2,128,64,11,67.77358913421631,0.3816348910331726,0.357063353061676,0.3613927364349365,0.29455745220184326,0.2556707262992859,0.26590222120285034,20336.548828125,100.70323181152344,142.60627205044315,21150.37890625,101.92424011230469,145.43169842317732
medium,outputs/models/medium_128x128_dense128_drop0_2_bs64_lr0_001.keras,110785,128,128,128x128,0.001,0.2,128,64,11,115.54270792007446,0.3933735191822052,0.36149829626083374,0.37073132395744324,0.32258033752441406,0.28001317381858826,0.2934289574623108,22272.791015625,101.95401763916016,149.2407150064117,23339.904296875,104.55804443359375,152.77403017815234
medium,outputs/models/medium_160x160_dense64_drop0_2_bs64_lr0_001.keras,102465,160,160,160x160,0.001,0.2,64,64,12,201.20037961006165,0.3997076451778412,0.3652265667915344,0.37397271394729614,0.3131294548511505,0.27106571197509766,0.281244158744812,21561.087890625,103.0054931640625,146.83694320784875,22370.70703125,105.47222137451172,149.56840251620662
small,outputs/models/small_64x64_dense128_drop0_3_bs64_lr0_001.keras,9633,64,64,64x64,0.001,0.3,128,64,14,39.75915575027466,0.40102124214172363,0.3656383454799652,0.3733272850513458,0.38867607712745667,0.33600914478302,0.3505309224128723,26726.81640625,103.12163543701172,163.4833826608992,27881.908203125,105.29014587402344,166.97876572524123
medium,outputs/models/medium_128x128_dense64_drop0_2_bs64_lr0_0001.keras,102465,128,128,128x128,0.0001,0.2,64,64,13,139.4448938369751,0.3944111764431,0.3661743402481079,0.3723517060279846,0.2789139151573181,0.24325715005397797,0.25163182616233826,19349.146484375,103.2728271484375,139.10120950004352,20015.28515625,105.0150146484375,141.47538710408253
large,outputs/models/large_128x128_dense64_drop0_2_bs64_lr0_0001.keras,600609,128,128,128x128,0.0001,0.2,64,64,21,391.2903907299042,0.38933154940605164,0.37131190299987793,0.37743452191352844,0.26025089621543884,0.23445257544517517,0.24271459877490997,18648.814453125,104.72177124023438,136.56066217298817,19305.994140625,106.44853210449219,138.946011603878
large,outputs/models/large_128x128_dense128_drop0_3_bs64_lr0_0001.keras,617121,128,128,128x128,0.0001,0.3,128,64,19,356.15918922424316,0.39844727516174316,0.37304532527923584,0.3801197409629822,0.336907297372818,0.2957313060760498,0.3087778687477112,23523.037109375,105.21065521240234,153.37221752773544,24560.783203125,107.20584869384766,156.71880296609274
medium,outputs/models/medium_64x64_dense64_drop0_3_bs64_lr0_0001.keras,102465,64,64,64x64,0.0001,0.3,64,64,21,85.21379351615906,0.4022485613822937,0.3764255940914154,0.3877805471420288,0.27984485030174255,0.2517797648906708,0.2617722451686859,20027.048828125,106.16399383544922,141.51695597392208,20821.873046875,109.36641693115234,144.297862239449
medium,outputs/models/medium_96x96_dense64_drop0_2_bs64_lr0_0001.keras,102465,96,96,96x96,0.0001,0.2,64,64,10,66.6360297203064,0.40635958313941956,0.3772161304950714,0.3863500952720642,0.2847805917263031,0.24436774849891663,0.2573513686656952,19437.478515625,106.386962890625,139.41835788598644,20470.228515625,108.96300506591797,143.07420632533663
small,outputs/models/small_128x128_dense64_drop0_3_bs64_lr0_0001.keras,7457,128,128,128x128,0.0001,0.3,64,64,11,66.89622068405151,0.4088969826698303,0.38121169805526733,0.3864644467830658,0.3218308687210083,0.2776881754398346,0.2890355885028839,22087.8515625,107.51383209228516,148.61982223949806,22990.4453125,108.99526977539062,151.62600473698436
medium,outputs/models/medium_96x96_dense128_drop0_3_bs64_lr0_0001.keras,110785,96,96,96x96,0.0001,0.3,128,64,11,72.66431379318237,0.4204135239124298,0.3825574219226837,0.3895966708660126,0.36599716544151306,0.3147256672382355,0.3254835307598114,25033.88671875,107.89334106445312,158.2210059339467,25889.595703125,109.87864685058594,160.9024415698065
large,outputs/models/large_160x160_dense128_drop0_2_bs64_lr0_001.keras,617121,160,160,160x160,0.001,0.2,128,64,13,353.677579164505,0.42396312952041626,0.3902815282344818,0.39944592118263245,0.4090946316719055,0.3483341932296753,0.3661280572414398,27707.173828125,110.07181549072266,166.45472005360799,29122.533203125,112.65644073486328,170.65325429983747
medium,outputs/models/medium_160x160_dense64_drop0_3_bs64_lr0_001.keras,102465,160,160,160x160,0.001,0.3,64,64,11,163.42656183242798,0.41764408349990845,0.3917553126811981,0.399570494890213,0.2845185101032257,0.2500378489494324,0.2609512507915497,19888.4921875,110.48745727539062,141.0265655381992,20756.56640625,112.69159698486328,144.0713934348176
small,outputs/models/small_224x224_dense128_drop0_3_bs64_lr0_0001.keras,9633,224,224,224x224,0.0001,0.3,128,64,17,261.6780903339386,0.40148961544036865,0.39308905601501465,0.3939611613750458,0.2504270672798157,0.23881831765174866,0.24062736332416534,18996.072265625,110.86363983154297,137.82623939448177,19139.966796875,111.10955810546875,138.34726884501552
medium,outputs/models/medium_128x128_dense64_drop0_3_bs64_lr0_001.keras,102465,128,128,128x128,0.001,0.3,64,64,21,215.42805075645447,0.4208775758743286,0.3948657810688019,0.4041428565979004,0.29627925157546997,0.2663382589817047,0.27493202686309814,21185.056640625,111.36470031738281,145.5508730328506,21868.625,113.98114776611328,147.8804415735901
small,outputs/models/small_128x128_dense64_drop0_2_bs64_lr0_0001.keras,7457,128,128,128x128,0.0001,0.2,64,64,22,131.2753882408142,0.3961339592933655,0.39775213599205017,0.39968207478523254,0.20742496848106384,0.20476017892360687,0.20784692466259003,16287.021484375,112.17874908447266,127.62061543643723,16532.544921875,112.72306060791016,128.5789443177809
small,outputs/models/small_160x160_dense64_drop0_2_bs64_lr0_0001.keras,7457,160,160,160x160,0.0001,0.2,64,64,12,100.20221590995789,0.40892043709754944,0.3985147178173065,0.3986034691333771,0.2615925669670105,0.2486664056777954,0.2504535913467407,19779.41015625,112.39382934570312,140.63929094051207,19921.564453125,112.41885375976562,141.14377227892487
small,outputs/models/small_64x64_dense128_drop0_2_bs64_lr0_001.keras,9633,64,64,64x64,0.001,0.2,128,64,14,40.87781882286072,0.42956122756004333,0.39933016896247864,0.40597787499427795,0.4035423994064331,0.35440587997436523,0.368285208940506,28190.126953125,112.62379455566406,167.89915709474243,29294.123046875,114.49867248535156,171.1552600619537
medium,outputs/models/medium_128x128_dense128_drop0_2_bs64_lr0_0001.keras,110785,128,128,128x128,0.0001,0.2,128,64,12,125.7535719871521,0.4099986255168915,0.40196073055267334,0.40869608521461487,0.21886220574378967,0.20732660591602325,0.21407288312911987,16491.158203125,113.3656997680664,128.4179045270752,17027.76953125,115.2652816772461,130.49049594223328
large,outputs/models/large_224x224_dense64_drop0_3_bs64_lr0_001.keras,600609,224,224,224x224,0.001,0.3,64,64,22,1074.5428915023804,0.4201522469520569,0.4033990800380707,0.4066603183746338,0.2464866191148758,0.22473391890525818,0.22928966581821442,17875.767578125,113.7713394165039,133.7002901198236,18238.146484375,114.69115447998047,135.0486819053596
medium,outputs/models/medium_224x224_dense64_drop0_2_bs64_lr0_001.keras,102465,224,224,224x224,0.001,0.2,64,64,11,308.1437203884125,0.424636572599411,0.4073726534843445,0.414804071187973,0.24345730245113373,0.22241897881031036,0.22993889451026917,17691.63671875,114.8920669555664,133.00991210714335,18289.783203125,116.9879379272461,135.23972494472548
